Title,Artist,Link
Choosin' Texas,1,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2025-11-01/
Man I Need,2,https://www.billboard.comhttps://www.billboard.com/artist/olivia-dean/
I Just Might,3,https://www.billboard.comhttps://www.billboard.com/artist/bruno-mars/
Be Her,4,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-02-28/
Ordinary,5,https://www.billboard.comhttps://www.billboard.com/artist/alex-warren/
So Easy (To Fall In Love),6,https://www.billboard.comhttps://www.billboard.com/artist/olivia-dean/
Golden,7,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2025-07-05/
Stateside,8,https://www.billboard.comhttps://www.billboard.com/artist/pinkpantheress/
Folded,9,https://www.billboard.comhttps://www.billboard.com/artist/kehlani/
Swim,10,https://www.billboard.comhttps://www.billboard.com/artist/bts/
The Fate Of Ophelia,11,https://www.billboard.comhttps://www.billboard.com/artist/taylor-swift/
Risk It All,12,https://www.billboard.comhttps://www.billboard.com/artist/bruno-mars/
Yukon,13,https://www.billboard.comhttps://www.billboard.com/artist/justin-bieber/
Where Is My Husband!,14,https://www.billboard.comhttps://www.billboard.com/artist/raye/
Dracula,15,https://www.billboard.comhttps://www.billboard.com/artist/tame-impala/
Sleepless In A Hotel Room,16,https://www.billboard.comhttps://www.billboard.com/artist/luke-combs/
Opalite,17,https://www.billboard.comhttps://www.billboard.com/artist/taylor-swift/
Daisies,18,https://www.billboard.comhttps://www.billboard.com/artist/justin-bieber/
Babydoll,19,https://www.billboard.comhttps://www.billboard.com/artist/dominic-fike/
Bottom Of Your Boots,20,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-25/
Loving Life Again,21,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-04/
Iloveitiloveitiloveit,22,https://www.billboard.comhttps://www.billboard.com/artist/bella-kay/
E85,23,https://www.billboard.comhttps://www.billboard.com/artist/don-toliver/
Be By You,24,https://www.billboard.comhttps://www.billboard.com/artist/luke-combs/
Homewrecker,25,https://www.billboard.comhttps://www.billboard.com/artist/sombr/
Beauty And A Beat,26,https://www.billboard.comhttps://www.billboard.com/artist/justin-bieber/
Dandelion,27,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-02-14/
Pinky Up,28,https://www.billboard.comhttps://www.billboard.com/artist/katseye/
The Fall,29,https://www.billboard.comhttps://www.billboard.com/artist/cody-johnson/
American Girls,30,https://www.billboard.comhttps://www.billboard.com/artist/harry-styles/
Body,31,https://www.billboard.comhttps://www.billboard.com/artist/don-toliver/
Pop Dat Thang,32,https://www.billboard.comhttps://www.billboard.com/artist/dababy/
Change My Mind,33,https://www.billboard.comhttps://www.billboard.com/artist/riley-green/
White Keys,34,https://www.billboard.comhttps://www.billboard.com/artist/dominic-fike/
Freakin' Out,35,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-04/
Die On This Hill,36,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-01-03/
Let 'Em Know,37,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-02-07/
I Ain't Coming Back,38,https://www.billboard.comhttps://www.billboard.com/artist/morgan-wallen/
Fever Dream,39,https://www.billboard.comhttps://www.billboard.com/artist/alex-warren/
Earrings,40,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-03-14/
When Did You Get Hot?,41,https://www.billboard.comhttps://www.billboard.com/artist/sabrina-carpenter/
Lush Life,42,https://www.billboard.comhttps://www.billboard.com/artist/zara-larsson/
Motion Party,43,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-03-28/
Midnight Sun,44,https://www.billboard.comhttps://www.billboard.com/artist/zara-larsson/
The Great Divide,45,https://www.billboard.comhttps://www.billboard.com/artist/noah-kahan/
Days Like These,46,https://www.billboard.comhttps://www.billboard.com/artist/luke-combs/
Baby,47,https://www.billboard.comhttps://www.billboard.com/artist/justin-bieber/
What You Saying,48,https://www.billboard.comhttps://www.billboard.com/artist/lil-uzi-vert/
Brunette,49,https://www.billboard.comhttps://www.billboard.com/artist/tucker-wetmore/
Runway,50,https://www.billboard.comhttps://www.billboard.com/artist/lady-gaga/
Elizabeth Taylor,51,https://www.billboard.comhttps://www.billboard.com/artist/taylor-swift/
Raindance,52,https://www.billboard.comhttps://www.billboard.com/artist/dave/
Broken,53,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-25/
We Know Us,54,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-25/
You & Me Time,55,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-25/
What He'll Never Have,56,https://www.billboard.comhttps://www.billboard.com/artist/dylan-scott/
Obvious,57,https://www.billboard.comhttps://www.billboard.com/artist/chris-brown/
McArthur,58,https://www.billboard.comhttps://www.billboard.com/artist/hardy/
FDO,59,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2025-12-27/
Boston,60,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-18/
In My Room,61,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-03-21/
Low Lights,62,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-25/
Speaking Terms,63,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-25/
Father,64,https://www.billboard.comhttps://www.billboard.com/artist/travis-scott/
What You Need,65,https://www.billboard.comhttps://www.billboard.com/artist/tems/
Turn This Truck Around,66,https://www.billboard.comhttps://www.billboard.com/artist/jordan-davis/
Beautiful Things,67,https://www.billboard.comhttps://www.billboard.com/artist/megan-moroney/
Don't We,68,https://www.billboard.comhttps://www.billboard.com/artist/morgan-wallen/
Body To Body,69,https://www.billboard.comhttps://www.billboard.com/artist/bts/
One Of Them,70,https://www.billboard.comhttps://www.billboard.com/artist/dj-khaled/
Butterfly Season,71,https://www.billboard.comhttps://www.billboard.com/artist/miranda-lambert/
Porch Light,72,https://www.billboard.comhttps://www.billboard.com/artist/noah-kahan/
Rein Me In,73,https://www.billboard.comhttps://www.billboard.com/artist/sam-fender/
Dry Spell,74,https://www.billboard.comhttps://www.billboard.com/artist/kacey-musgraves/
Somethin' Simple,75,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-25/
Last Call For Us,76,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-25/
Go Away,77,https://www.billboard.comhttps://www.billboard.com/artist/weezer/
Rethink Some Things,78,https://www.billboard.comhttps://www.billboard.com/artist/luke-combs/
Chanel,79,https://www.billboard.comhttps://www.billboard.com/artist/tyla/
I Gotta Quit,80,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-25/
Mrs. Trendsetter,81,https://www.billboard.comhttps://www.billboard.com/artist/lil-baby/
Mr. Know It All,82,https://www.billboard.comhttps://www.billboard.com/artist/teddy-swims/
It Wasn't God Who Made Honky Tonk Angels,83,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-25/
Ain't A Bad Life,84,https://www.billboard.comhttps://www.billboard.com/artist/thomas-rhett/
Hate How You Look,85,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-18/
All The Love,86,https://www.billboard.comhttps://www.billboard.com/artist/andre-troutman/
Dano,87,https://www.billboard.comhttps://www.billboard.com/artist/peso-pluma/
2.0,88,https://www.billboard.comhttps://www.billboard.com/artist/bts/
Ever Since U Left Me,89,https://www.billboard.comhttps://www.billboard.com/artist/french-montana/
Hooligan,90,https://www.billboard.comhttps://www.billboard.com/artist/bts/
The Visitor,91,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-03-28/
Rocky Mountain Low,92,https://www.billboard.comhttps://www.billboard.com/artist/koe-wetzel/
Jane!,93,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-18/
Aperture,94,https://www.billboard.comhttps://www.billboard.com/artist/harry-styles/
Who Knows,95,https://www.billboard.comhttps://www.billboard.com/artist/daniel-caesar/
Don't Tell On Me,96,https://www.billboard.comhttps://www.billboard.com/artist/jason-aldean/
Self Aware,97,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-18/
Zoo,98,https://www.billboard.comhttps://www.billboard.com/artist/shakira/
Plastic Cigarette,99,https://www.billboard.comhttps://www.billboard.com/artist/zach-bryan/
Woman,100,https://www.billboard.comhttps://www.billboard.com/artist/kane-brown/
